id,age,job,marital,education,location,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41,25,management,single,tertiary,Porto,0,1734.0,0,0,cellular,19,oct,366,1,-1,0,unknown,0
42,41,blue-collar,married,secondary,unknown,0,1165.0,0,0,unknown,12,jun,69,3,-1,0,unknown,0
43,44,blue-collar,married,primary,Lisboa,0,753.0,1,0,unknown,8,may,151,2,-1,0,unknown,0
44,50,administrator,married,secondary,unknown,0,736.0,1,0,unknown,14,may,74,1,-1,0,unknown,0
45,32,management,married,tertiary,unknown,0,958.0,1,0,telephone,17,jul,151,1,-1,0,unknown,0
46,29,services,single,primary,Porto,0,95.0,1,0,unknown,13,may,266,2,-1,0,unknown,0
47,37,administrator,married,secondary,unknown,0,14.0,1,0,unknown,8,may,176,2,-1,0,unknown,0
48,48,services,married,secondary,unknown,0,2850.0,1,0,cellular,6,aug,107,3,-1,0,unknown,0
49,44,services,divorced,secondary,Amadora,0,608.0,1,1,unknown,18,jun,19,30,-1,0,unknown,0
50,50,unemployed,divorced,unknown,Porto,0,1088.0,0,0,cellular,2,feb,749,1,-1,0,unknown,1
51,41,management,married,tertiary,unknown,0,6060.0,1,0,unknown,15,may,71,2,-1,0,unknown,0
52,35,management,married,tertiary,unknown,0,2123.0,1,0,cellular,20,apr,54,1,273,3,failure,0
53,55,retired,married,primary,Lisboa,0,-90.0,1,1,cellular,7,may,634,2,-1,0,unknown,0
54,61,retired,married,secondary,unknown,0,399.0,0,0,cellular,26,aug,81,1,-1,0,unknown,0
55,84,retired,divorced,primary,Lisboa,0,1680.0,0,0,telephone,6,sep,113,5,97,3,other,0
56,54,management,married,tertiary,Lisboa,0,6525.0,1,0,cellular,17,apr,231,1,149,4,failure,0
57,28,blue-collar,married,secondary,Lisboa,0,-95.0,1,0,unknown,13,may,200,1,-1,0,unknown,0
58,50,technician,married,secondary,Amadora,0,3176.0,0,0,cellular,7,aug,670,1,-1,0,unknown,1
59,30,administrator,married,secondary,Porto,0,1589.0,1,0,cellular,18,nov,51,2,-1,0,unknown,0
60,60,self-employed,married,tertiary,unknown,0,10861.0,0,0,cellular,9,nov,98,1,91,2,failure,1
61,33,management,married,tertiary,unknown,0,540.0,0,0,cellular,11,aug,79,4,-1,0,unknown,0
62,40,administrator,divorced,secondary,unknown,0,540.0,1,0,cellular,30,jan,74,1,-1,0,unknown,0
63,40,blue-collar,married,primary,Lisboa,0,2635.0,1,0,unknown,2,jun,20,21,-1,0,unknown,0
64,45,management,single,tertiary,Lisboa,0,2067.0,1,0,cellular,13,aug,393,2,462,1,success,1
65,26,management,single,tertiary,Lisboa,0,45.0,0,0,cellular,10,jul,1187,3,-1,0,unknown,1
66,40,blue-collar,single,secondary,unknown,0,82.0,1,0,cellular,28,jul,86,4,-1,0,unknown,0
67,35,blue-collar,divorced,secondary,Lisboa,0,356.0,1,0,unknown,29,may,76,2,-1,0,unknown,0
68,34,services,married,secondary,Lisboa,0,703.0,0,0,cellular,17,apr,282,2,150,2,failure,0
69,50,blue-collar,married,primary,unknown,0,2610.0,1,1,unknown,20,may,181,6,-1,0,unknown,0
70,42,technician,single,secondary,Porto,0,146.0,0,0,cellular,8,aug,229,2,-1,0,unknown,0
71,36,services,divorced,secondary,Coimbra,0,54.0,1,0,cellular,20,nov,355,6,-1,0,unknown,0
72,60,blue-collar,married,primary,Lisboa,0,17413.0,0,0,unknown,9,jun,200,1,-1,0,unknown,0
73,25,administrator,single,secondary,unknown,0,131.0,1,1,unknown,9,may,237,1,-1,0,unknown,0
74,39,blue-collar,married,primary,unknown,0,1564.0,0,0,unknown,17,jun,57,1,-1,0,unknown,0
75,32,technician,married,secondary,Porto,0,-95.0,1,0,cellular,29,jul,935,4,-1,0,unknown,0
76,50,blue-collar,married,secondary,Lisboa,0,-731.0,1,0,cellular,15,jul,401,4,-1,0,unknown,0
77,40,blue-collar,divorced,primary,unknown,0,-191.0,1,0,unknown,15,may,755,1,-1,0,unknown,1
78,34,blue-collar,married,secondary,Porto,0,3990.0,1,0,cellular,24,jul,633,7,-1,0,unknown,0
79,34,blue-collar,married,primary,unknown,0,3527.0,1,0,cellular,21,nov,1022,1,-1,0,unknown,1
80,51,management,divorced,tertiary,Lisboa,0,492.0,0,1,cellular,29,jul,54,7,-1,0,unknown,0
81,37,management,married,tertiary,unknown,1,0.0,0,0,cellular,17,nov,44,1,123,2,failure,0
82,63,retired,married,secondary,unknown,0,1486.0,0,0,cellular,14,may,698,5,316,3,other,0
83,59,retired,married,primary,unknown,0,0.0,0,0,unknown,16,jun,39,1,-1,0,unknown,0
84,36,technician,divorced,secondary,Lisboa,0,861.0,0,0,telephone,29,aug,140,2,-1,0,unknown,0
85,38,technician,single,secondary,unknown,0,145.0,1,0,unknown,27,may,109,2,-1,0,unknown,0
86,34,student,single,unknown,Lisboa,0,242.0,0,0,telephone,4,mar,364,2,244,2,failure,0
87,36,management,married,tertiary,Lisboa,0,1584.0,1,0,cellular,18,jul,178,1,-1,0,unknown,0
88,70,retired,married,primary,unknown,0,2346.0,0,0,cellular,1,jun,421,1,97,6,success,0
89,51,blue-collar,married,primary,Amadora,0,176.0,0,1,cellular,26,aug,80,2,-1,0,unknown,0
90,44,management,married,secondary,Porto,0,3286.0,1,0,cellular,18,jul,569,1,-1,0,unknown,0
91,53,unknown,married,unknown,unknown,0,13.0,0,0,telephone,28,jan,69,1,-1,0,unknown,0
92,56,retired,divorced,primary,Lisboa,0,0.0,0,0,unknown,5,jun,27,1,-1,0,unknown,0
93,40,blue-collar,married,primary,Lisboa,0,12.0,1,0,unknown,5,jun,54,26,-1,0,unknown,0
94,56,management,married,tertiary,unknown,0,935.0,1,0,cellular,17,nov,140,1,-1,0,unknown,0
95,40,administrator,divorced,secondary,Porto,0,1232.0,0,0,cellular,5,feb,217,1,-1,0,unknown,0
96,56,administrator,married,secondary,unknown,0,1290.0,0,0,unknown,12,jun,243,1,-1,0,unknown,0
97,65,entrepreneur,married,tertiary,unknown,0,2331.0,0,0,telephone,11,aug,425,1,183,2,success,1
98,40,administrator,married,secondary,Braga,0,3138.0,0,0,cellular,12,aug,238,1,-1,0,unknown,0
99,49,technician,married,secondary,Lisboa,0,412.0,0,0,cellular,19,aug,1293,8,-1,0,unknown,1
100,29,blue-collar,married,secondary,unknown,0,-478.0,0,1,cellular,8,jul,528,2,-1,0,unknown,0
101,28,technician,single,secondary,unknown,0,593.0,1,0,unknown,19,jun,202,1,-1,0,unknown,0
102,36,management,single,tertiary,Lisboa,0,202.0,0,0,cellular,13,aug,150,4,-1,0,unknown,0
103,29,entrepreneur,single,tertiary,unknown,0,135.0,1,0,cellular,12,may,245,1,356,1,failure,0
104,31,services,married,secondary,Porto,0,-163.0,1,0,cellular,21,jul,200,2,-1,0,unknown,0
105,42,technician,single,secondary,unknown,0,716.0,1,0,cellular,21,nov,110,1,-1,0,unknown,0
106,59,management,married,secondary,unknown,0,544.0,0,0,unknown,20,jun,67,2,-1,0,unknown,0
107,55,management,divorced,tertiary,Lisboa,0,271.0,1,0,cellular,9,apr,191,4,-1,0,unknown,0
108,34,self-employed,married,tertiary,Porto,0,13354.0,0,0,telephone,21,nov,26,5,-1,0,unknown,0
109,43,entrepreneur,single,primary,Porto,0,2124.0,1,0,cellular,19,nov,104,1,-1,0,unknown,0
110,38,entrepreneur,married,tertiary,Porto,0,228.0,1,0,cellular,5,feb,105,1,-1,0,unknown,0
111,45,management,married,tertiary,Porto,0,226.0,1,0,cellular,13,aug,177,6,179,10,success,1
112,26,management,divorced,tertiary,unknown,1,-402.0,0,1,unknown,12,may,127,2,-1,0,unknown,0
113,54,retired,married,secondary,unknown,0,1154.0,1,0,telephone,3,feb,125,3,-1,0,unknown,0
114,34,blue-collar,single,secondary,unknown,0,1189.5748019255373,1,1,unknown,5,may,346,1,-1,0,unknown,0
115,57,technician,divorced,secondary,unknown,0,204.0,0,0,unknown,6,jun,97,5,-1,0,unknown,0
116,42,blue-collar,married,primary,unknown,0,2273.0,1,0,cellular,18,nov,253,1,112,2,failure,0
117,42,management,single,tertiary,unknown,0,706.0,0,0,cellular,29,jan,132,2,-1,0,unknown,0
118,21,unemployed,single,secondary,Lisboa,0,1333.0,0,0,cellular,2,feb,120,1,-1,0,unknown,0
119,47,technician,single,secondary,unknown,0,1710.0,0,1,cellular,16,jul,525,2,-1,0,unknown,0
120,50,technician,married,tertiary,unknown,0,72.0,0,0,telephone,5,dec,12,1,-1,0,unknown,0
121,57,management,divorced,unknown,unknown,0,0.0,0,0,cellular,27,mar,102,1,-1,0,unknown,0
122,45,technician,married,secondary,Lisboa,0,1081.0,1,0,cellular,17,jul,127,3,-1,0,unknown,0
123,56,unemployed,single,primary,unknown,0,1110.0,0,0,cellular,4,feb,945,2,-1,0,unknown,1
124,51,self-employed,married,primary,unknown,0,106.0,1,0,telephone,31,jul,240,2,-1,0,unknown,0
125,28,blue-collar,married,secondary,unknown,0,2378.0,1,1,cellular,18,jul,800,6,-1,0,unknown,0
126,43,services,married,primary,unknown,0,3.0,1,0,unknown,5,may,186,2,-1,0,unknown,0
127,38,technician,single,secondary,unknown,0,-591.0,1,0,unknown,23,may,71,1,-1,0,unknown,0
128,49,management,married,tertiary,Porto,0,85.0,1,0,cellular,14,may,590,5,359,1,other,1
129,42,blue-collar,married,secondary,Lisboa,0,505.0,1,0,cellular,15,may,117,1,-1,0,unknown,0
130,40,self-employed,married,tertiary,unknown,0,1391.5976992994554,1,0,cellular,4,feb,357,1,-1,0,unknown,0
131,22,student,single,secondary,Coimbra,0,224.0,0,0,unknown,14,sep,5,1,-1,0,unknown,0
132,41,blue-collar,married,primary,unknown,0,143.0,1,1,unknown,2,jun,659,2,-1,0,unknown,1
133,47,management,divorced,tertiary,unknown,0,94.0,1,0,cellular,31,jul,9,19,-1,0,unknown,0
134,51,administrator,divorced,secondary,unknown,0,2195.0,1,0,unknown,13,may,59,1,-1,0,unknown,0
135,39,technician,married,tertiary,Lisboa,0,3911.0,1,0,cellular,18,nov,247,2,-1,0,unknown,0
136,33,blue-collar,married,primary,Lisboa,0,1160.3203615862533,1,0,cellular,8,may,548,1,-1,0,unknown,0
137,36,technician,single,secondary,unknown,0,1053.0,1,0,unknown,21,may,147,1,-1,0,unknown,0
138,32,blue-collar,married,secondary,Lisboa,0,931.0,1,0,unknown,3,jun,409,1,-1,0,unknown,0
139,53,administrator,divorced,secondary,Braga,0,-120.0,1,0,unknown,27,may,211,1,-1,0,unknown,0
140,54,blue-collar,married,secondary,unknown,0,853.0,0,0,unknown,16,jun,24,5,-1,0,unknown,0
141,38,blue-collar,single,secondary,Lisboa,0,711.0,1,0,cellular,24,feb,254,5,140,1,other,0
142,31,management,married,tertiary,Lisboa,0,233.0,1,0,cellular,14,may,241,2,365,10,failure,0
143,29,blue-collar,single,secondary,Lisboa,0,309.0,1,0,cellular,11,may,471,3,-1,0,unknown,0
144,34,blue-collar,divorced,secondary,unknown,0,3798.0,1,0,unknown,23,may,488,2,-1,0,unknown,0
145,41,management,married,tertiary,Lisboa,0,97.0,0,0,cellular,18,nov,130,1,-1,0,unknown,0
146,39,blue-collar,married,primary,Lisboa,0,315.0,1,0,cellular,15,may,259,3,353,3,failure,0
147,44,services,married,secondary,Lisboa,0,634.0,1,0,cellular,20,apr,226,2,-1,0,unknown,0
148,33,technician,single,tertiary,unknown,0,0.0,1,0,cellular,21,nov,654,2,-1,0,unknown,1
149,29,blue-collar,married,secondary,Porto,0,832.0,1,0,unknown,16,may,228,2,-1,0,unknown,0
150,27,services,single,secondary,Lisboa,0,353.0,1,0,cellular,15,may,663,1,-1,0,unknown,1
151,60,retired,married,secondary,unknown,0,2674.0,0,0,cellular,14,jul,96,2,-1,0,unknown,0
152,30,technician,married,secondary,unknown,0,274.0,1,1,cellular,21,nov,105,5,102,2,failure,0
153,47,self-employed,married,unknown,unknown,0,935.0,1,0,unknown,6,may,225,1,-1,0,unknown,0
154,35,services,married,secondary,unknown,0,27.0,1,1,cellular,5,may,442,2,278,3,failure,0
155,46,blue-collar,married,secondary,unknown,0,176.0,0,0,unknown,29,may,131,1,-1,0,unknown,0
156,71,technician,married,tertiary,unknown,0,383.0,0,0,cellular,27,oct,327,2,183,3,success,0
157,39,management,married,secondary,Braga,0,0.0,1,0,cellular,27,aug,63,3,-1,0,unknown,0
158,30,unemployed,single,tertiary,unknown,0,306.0,0,0,cellular,6,feb,90,6,256,14,failure,0
159,32,management,single,tertiary,Lisboa,0,2974.0,1,0,cellular,20,apr,169,1,-1,0,unknown,0
160,34,administrator,married,secondary,Lisboa,0,147.0,1,1,cellular,29,jul,57,7,-1,0,unknown,0
161,38,blue-collar,married,secondary,unknown,0,1116.0,0,0,unknown,9,jun,80,3,-1,0,unknown,0
162,41,blue-collar,married,primary,unknown,0,262.0,1,0,unknown,29,may,159,1,-1,0,unknown,0
163,34,services,married,secondary,Amadora,0,-315.0,1,0,unknown,8,may,56,2,-1,0,unknown,0
164,30,technician,married,secondary,Lisboa,0,0.0,1,0,cellular,14,may,47,2,-1,0,unknown,0
165,33,blue-collar,married,tertiary,Porto,0,6138.0,1,0,cellular,19,nov,384,1,183,1,failure,0
166,27,blue-collar,single,tertiary,Porto,0,567.0,0,0,cellular,25,nov,238,2,184,1,success,1
167,26,services,married,secondary,unknown,0,-285.0,1,1,unknown,4,jun,279,1,-1,0,unknown,0
168,52,housemaid,married,primary,Amadora,0,310.0,0,1,unknown,12,jun,100,4,-1,0,unknown,0
169,31,blue-collar,married,primary,Porto,0,229.0,0,0,telephone,8,jul,186,2,-1,0,unknown,0
170,33,administrator,single,secondary,Lisboa,0,315.0,1,1,cellular,14,may,888,3,-1,0,unknown,1
171,39,administrator,married,secondary,Amadora,0,1757.0,0,0,telephone,28,oct,125,2,-1,0,unknown,1
172,34,blue-collar,married,primary,Lisboa,0,567.0,0,1,cellular,8,jul,241,3,-1,0,unknown,0
173,50,technician,married,secondary,unknown,0,3263.0,1,0,cellular,23,jul,115,1,-1,0,unknown,0
174,29,blue-collar,married,secondary,unknown,0,9.0,1,0,cellular,25,jul,236,8,-1,0,unknown,0
175,45,administrator,divorced,unknown,unknown,0,857.0,0,0,cellular,8,jul,49,7,-1,0,unknown,0
176,30,technician,divorced,secondary,Braga,0,2403.0,0,0,cellular,20,aug,132,2,-1,0,unknown,0
177,48,technician,married,primary,unknown,0,788.0,0,0,telephone,9,jul,36,2,-1,0,unknown,0
178,33,management,divorced,secondary,Porto,0,321.0,0,1,cellular,30,jul,151,10,-1,0,unknown,0
179,41,technician,married,secondary,Lisboa,0,1365.913287230517,1,1,cellular,21,nov,285,2,116,4,failure,0
180,31,self-employed,married,secondary,unknown,0,581.0,1,0,cellular,14,may,303,3,174,3,failure,0
181,31,services,married,secondary,unknown,0,182.0,0,0,cellular,20,aug,231,2,-1,0,unknown,0
182,26,management,single,tertiary,unknown,0,2692.0,0,0,unknown,28,may,159,2,-1,0,unknown,0
183,30,services,single,secondary,Lisboa,0,-172.0,1,1,cellular,17,apr,282,4,329,2,other,0
184,38,blue-collar,married,secondary,unknown,0,507.0,1,0,unknown,8,may,95,1,-1,0,unknown,0
185,44,management,married,secondary,unknown,0,2984.0,1,0,unknown,15,may,770,2,-1,0,unknown,0
186,45,blue-collar,married,primary,unknown,0,1265.0,1,0,cellular,11,may,40,8,299,1,success,0
187,37,unemployed,single,secondary,Porto,0,443.0,0,0,cellular,29,jan,1600,1,-1,0,unknown,1
188,74,retired,married,primary,unknown,0,670.0,0,0,cellular,23,apr,266,5,-1,0,unknown,1
189,57,blue-collar,married,primary,unknown,0,133.0,0,1,cellular,30,jul,173,4,-1,0,unknown,0
190,38,blue-collar,married,secondary,unknown,0,702.0,0,0,unknown,17,jun,92,2,-1,0,unknown,0
191,47,administrator,married,primary,unknown,0,31.0,1,0,cellular,6,may,50,1,356,1,failure,0
192,41,technician,married,secondary,Lisboa,0,593.0,0,0,cellular,29,aug,95,6,-1,0,unknown,0
194,59,technician,divorced,secondary,unknown,0,-296.0,0,1,cellular,29,jan,34,1,-1,0,unknown,0
195,31,technician,married,secondary,unknown,0,518.0,1,0,cellular,25,aug,348,2,-1,0,unknown,0
196,23,student,single,secondary,unknown,0,922.0,0,0,cellular,25,nov,242,1,85,8,failure,0
197,29,administrator,married,secondary,Coimbra,0,978.3365589173349,1,0,unknown,2,jun,150,5,-1,0,unknown,0
198,52,entrepreneur,divorced,tertiary,unknown,0,199.0,1,1,unknown,12,jun,246,2,-1,0,unknown,0
199,49,services,married,secondary,Lisboa,0,7019.0,1,0,cellular,2,jun,263,1,368,3,failure,1
200,28,administrator,single,secondary,unknown,0,136.0,0,0,cellular,16,jun,355,1,-1,0,unknown,1
201,34,technician,divorced,secondary,Porto,0,-324.0,0,0,cellular,14,aug,166,4,-1,0,unknown,0
202,27,management,single,tertiary,Lisboa,0,828.0,0,0,cellular,30,apr,243,1,-1,0,unknown,0
203,48,unemployed,married,primary,Lisboa,0,551.0,1,0,unknown,29,may,162,2,-1,0,unknown,0
204,28,administrator,married,secondary,unknown,0,423.0,1,0,cellular,23,jul,245,1,-1,0,unknown,0
205,27,services,married,secondary,unknown,0,58.0,1,0,cellular,7,may,113,1,337,2,other,0
206,32,management,divorced,tertiary,unknown,0,222.0,0,1,cellular,15,jul,820,4,-1,0,unknown,1
207,48,technician,married,secondary,unknown,0,5.0,0,0,unknown,9,jun,65,6,-1,0,unknown,0
208,35,unemployed,single,secondary,unknown,0,145.0,0,0,cellular,17,jul,354,1,-1,0,unknown,0
209,33,administrator,married,secondary,unknown,0,347.0,1,0,cellular,9,feb,7,7,193,13,failure,0
210,32,management,single,tertiary,Lisboa,0,574.0,1,0,cellular,20,nov,171,1,127,2,failure,0
211,37,services,married,secondary,unknown,0,-601.0,1,0,cellular,11,jul,210,2,-1,0,unknown,0
212,54,blue-collar,married,primary,Porto,0,-239.0,1,0,cellular,23,may,29,1,-1,0,unknown,0
213,54,services,married,secondary,Lisboa,0,88.0,1,0,unknown,13,may,190,1,-1,0,unknown,0
214,55,blue-collar,divorced,primary,unknown,0,410.0,0,1,cellular,11,jul,221,2,-1,0,unknown,0
215,39,services,married,secondary,Braga,0,104.0,1,0,cellular,20,apr,116,2,332,6,failure,0
216,42,technician,married,tertiary,Lisboa,0,1397.0,1,0,cellular,6,feb,135,7,-1,0,unknown,0
217,35,technician,single,secondary,unknown,0,1227.0,0,0,cellular,30,jul,1005,5,134,10,success,1
218,59,retired,divorced,secondary,unknown,0,602.0,0,0,unknown,20,jun,89,3,-1,0,unknown,0
219,36,management,married,tertiary,Lisboa,0,274.0,0,0,cellular,13,aug,122,2,-1,0,unknown,0
220,38,technician,single,secondary,unknown,0,2079.0,1,1,cellular,29,may,122,1,-1,0,unknown,0
221,24,administrator,single,tertiary,Porto,0,-61.0,0,0,cellular,11,mar,95,2,-1,0,unknown,1
222,30,management,married,tertiary,Lisboa,0,294.0,0,0,cellular,20,aug,605,4,-1,0,unknown,0
223,39,management,married,tertiary,unknown,0,-124.0,0,1,cellular,22,jul,182,1,-1,0,unknown,0
224,48,management,married,unknown,unknown,0,970.0,0,0,cellular,31,jul,67,2,-1,0,unknown,0
225,38,blue-collar,married,primary,Lisboa,0,3289.0,0,0,unknown,9,jun,553,2,-1,0,unknown,0
226,38,management,divorced,tertiary,Braga,0,151.0,1,0,cellular,17,jul,50,1,-1,0,unknown,0
227,57,services,divorced,primary,Lisboa,0,1367.0,0,0,unknown,9,jun,144,3,-1,0,unknown,0
228,39,management,married,tertiary,Lisboa,0,9579.0,1,0,cellular,18,nov,160,3,-1,0,unknown,0
229,45,housemaid,married,tertiary,unknown,0,40.0,1,0,cellular,3,sep,81,1,213,1,failure,0
230,41,management,married,tertiary,Lisboa,0,783.0,1,0,cellular,14,jul,126,3,-1,0,unknown,0
231,36,management,single,tertiary,Lisboa,0,156.0,0,0,cellular,22,aug,122,1,-1,0,unknown,0
232,44,blue-collar,married,primary,unknown,0,-11.0,1,0,unknown,9,may,13,1,-1,0,unknown,0
233,37,administrator,single,secondary,Porto,0,262.0,0,0,cellular,7,aug,305,1,179,5,other,0
234,51,entrepreneur,married,secondary,unknown,0,0.0,0,0,unknown,30,may,510,2,-1,0,unknown,0
235,38,blue-collar,married,primary,unknown,0,467.0,1,0,unknown,16,may,379,1,-1,0,unknown,0
236,31,technician,single,secondary,unknown,0,137.0,0,0,cellular,27,aug,27,14,-1,0,unknown,0
237,35,management,single,secondary,Porto,0,1031.0,1,0,cellular,22,jul,254,1,-1,0,unknown,0
238,56,unemployed,married,secondary,unknown,0,1350.0,0,0,cellular,2,jun,211,1,-1,0,unknown,0
239,32,self-employed,divorced,tertiary,unknown,0,3695.0,1,0,cellular,15,may,34,1,353,3,other,0
240,39,blue-collar,married,primary,Braga,0,1319.605493294011,1,1,cellular,21,nov,229,2,-1,0,unknown,0
241,26,services,married,secondary,unknown,0,-379.0,1,1,cellular,22,jul,1237,7,-1,0,unknown,1
242,30,blue-collar,single,tertiary,unknown,0,4127.0,1,0,telephone,21,nov,47,4,-1,0,unknown,0
243,29,blue-collar,married,secondary,Lisboa,0,358.0,0,0,cellular,21,jul,88,2,-1,0,unknown,0
244,39,administrator,single,secondary,Lisboa,0,4039.0,1,0,unknown,20,may,140,1,-1,0,unknown,0
245,51,management,married,tertiary,unknown,0,248.0,1,1,cellular,17,nov,139,2,126,3,failure,0
246,37,administrator,single,secondary,unknown,0,3049.0,1,1,unknown,29,may,153,1,-1,0,unknown,0
247,47,administrator,married,secondary,Amadora,0,-1091.0,1,1,cellular,31,jul,153,4,-1,0,unknown,0
248,33,blue-collar,single,secondary,Porto,0,2202.0,1,0,cellular,20,apr,372,2,-1,0,unknown,0
249,53,management,divorced,tertiary,Lisboa,0,647.0,1,0,unknown,16,may,512,6,-1,0,unknown,0
250,28,student,married,tertiary,Lisboa,0,1.0,0,0,cellular,15,jul,92,4,-1,0,unknown,0
251,33,technician,single,tertiary,unknown,0,154.0,0,0,cellular,4,jun,111,2,78,2,failure,0
252,31,technician,married,secondary,Coimbra,0,-119.0,1,0,cellular,18,may,9,5,-1,0,unknown,0
253,40,management,single,tertiary,unknown,0,1509.0,0,0,cellular,12,may,333,1,58,3,failure,0
254,42,blue-collar,married,primary,unknown,0,-336.0,1,0,telephone,15,may,12,6,-1,0,unknown,0
255,38,housemaid,single,tertiary,unknown,0,0.0,0,0,cellular,3,jun,137,3,-1,0,unknown,0
256,39,blue-collar,married,secondary,Porto,0,971.0,1,1,unknown,1,jul,471,3,-1,0,unknown,0
257,40,self-employed,married,tertiary,unknown,0,1498.0,0,0,cellular,4,feb,62,1,-1,0,unknown,0
258,44,management,married,tertiary,Amadora,0,226.0,1,0,cellular,17,nov,76,3,-1,0,unknown,0
259,32,blue-collar,married,secondary,unknown,0,1131.0659212469695,1,0,cellular,14,nov,132,1,-1,0,unknown,1
260,23,blue-collar,single,primary,Lisboa,0,382.0,0,0,cellular,15,jun,74,1,108,1,other,0
261,51,blue-collar,single,primary,unknown,0,60.0,0,0,unknown,3,jul,93,1,-1,0,unknown,0
262,33,administrator,married,secondary,unknown,0,1521.0,1,0,cellular,14,may,222,1,-1,0,unknown,0
263,50,blue-collar,married,secondary,Lisboa,0,283.0,1,0,cellular,7,aug,226,3,-1,0,unknown,0
